,0
What's this? Sleep therapy?,3
Matt opens his eyes.,1
GINGER,2
(continuing),4
You think somebody's gonna do this for you?  Look at those shriveled bi's,3
And you haven't worked lat's or ab's since Wednesday.,3
MATT,2
(smiling),4
"Hello, sweetheart",3
Had a rough day?,3
GINGER,2
(softening),4
"Come here, wimp.",3
She leans down as he sits up and they meet in a kiss that's bad for the other guys' discipline.,1
Sarah waits until they break the clinch to speak.,1
SARAH,2
"Hi, Matt.",3
"Matt look backwards over the bench, and replies, upside-down.",1
MATT,2
(grinning broadly),4
Heeey!  It's my favorite,3
Sarah,3
"Hi, babe.",3
"Ginger pulls the pin on Mat's weights and re-inserts it beneath the entire stack, the maximum weight.",1
GINGER,2
"Alright, warm-ups are over.",3
"Back to work, Bunky.",3
Ginger readadjusts her headphones as the two girls walk away.,1
MATT,2
'Bye beautiful,3
"You too,",3
Ginger.,3
"Two weightlifters nearby look at each other, than at Matt.",1
WEIGHTLIFTER,2
Bunky?,3
CUT TO:,0
"Sarah lurches away from the curb on her moped, almost spilling Ginger who is attempting to ride double",1
They swing out onto a main thoroughfare and careen through the bumper-to-bumper traffic.,1
Sarah maneuvers deftly though overloaded and unstable.,1
Ginger doesn't know whether to laugh of scream at the near-misses.,1
She does both.,1
CUT TO:,0
43      OMITTED                                                43,0
On a side street the girls pass an excavation site  between high-rises,1
They pass OUT OF FRAME as CAMERA HOLDS on the construction area and Ginger's shrieks fade.,1
"In the F.G., under an overpass, Reese sits is a car watching the powerful machines moving earth.",1
"He's in a late-model non-descript GREY SEDAN, one of a row of cars gathering dirt beside the construction site.",1
"Crab-armed back-hoes and massive caterpillars ROAR through a curtain of dust, under intense floodlights",1
"A power-shovel moves its great arm, lighting its own way with an arc-light.",1
CUT TO:,0
GREY SEDAN                                        45,5
Reese sits motionless in the dark,1
Waiting,1
The clock in the dash ticks quietly.,1
He flips on the radio,1
A fatuous POP ROCK STATION.,1
Reese fishes a magazine off the dirty floor,1
"His over- coat is off, draped over the shotgun on the seat beside him.",1
His bare arms are sinewy and scarred.,1
Reese flips the page of COSMOPOLITAN.,1
"He look at the glossy photos, the glossy women.",1
Fantasy women,1
Svelte and seamless.,1
The ads fascinate him too,1
Caribbean vacations and blended whiskeys.,1
His head sags against the door.,1
He gazes dully at the tracks of a passing CATERPILLAR as they chew through the dirt.,1
The ROAD and CLATTER of treads intensifies as his eyes close.,1
CUT TO:,0
EXT,5
MELTED RUIN,5
NIGHT,6
TIGHT ON A GLEAMING STEEL TREAD as it grinds through debris.,1
"The debris is ferroconcrete, girders, and jackstraw heaps of",1
"HUMAN BONES, burned black.",1
"There is the sound of EXPLOSIONS, distant, and an intermittent electronic WHINE",1
Incredibly bright searchlights play over the ground,1
"PANNING with the moving treads through twisted wreckage, F.G.",1
"The screen WHITES OUT with a BLAST, very close",1
"As the debris clatters down, a helmetted head snaps up into FRAME,",1
EXTREME F.G.,1
"The visor of the HIGH-TECH HELMET is shattered, presumably by the explosion",1
"The wearer rips it off, revealing a younger Reese, minus his burn scar.",1
"His face is bathed in sweat, lit by the glow from a CRT",1
SCOPE-SIGHT on a strange-looking rifle.,1
"The sound of SCREAMS and HOARSE SHOUTS not far off, and a continuous low murmuring of RADIO CHATTER, grid coordinates, casualties, unit placements, medic requests.",1
"Reese looks over his shoulder at his teammate, a GIRL of about sixteen, gaunt, dirty, heavily armed like himself.",1
DOLLYING as they start to belly crawl through the bones and wreckage.,1
Reese looks up.,1
Through spires of a collapsed building a terrifying,1
SPHINX-LIKE SHAPE moves against the sky...obscured by dust and blinding sweeps of its searchlights.,1
"Though we see little, this is an H-K,Hunter-Killer mobile ground-unit.",1
"Reese crawls, pacing the H-K, under and through, on elbows and knees, past mounds of charred skulls",1
"They pass the BODY OF A CHILD, a boy of about 10, center- punched with a smoking hole",1
The boy clutches a rifle.,1
More bodies,1
"Some in rags, some in uniforms like theirs.",1
WOMEN,1
OLD MEN,1
CHILDREN,1
"They're all dirty and gaunt, scabrous",1
And still bleeding,1
Reese scrabbles past a dark rat-hole and there are human rats in it,1
"Some of them are sobbing, or screaming.",1
Another EXPLOSION.,1
The GLARE lights the huddled few.,1
Human vermin with mud-caked weapons that haven't been invented yet,1
Soldiers in a nightmare war.,1
"Reese and his teammate stop behind a blasted wall, having outflanked the massive H-K",1
"Its flashing blue lights flick across the walls, its searchlights sear through the debris.",1
"WIDER, showing the H-K more clearly...a blast-scarred",1
"CHROME LEVIATHON, with hydraulic arms folded mantis-like against its 'torso', and huge underslung GUN TURRETS.",1
Reese leaps up and straight-arms a satchel-charge into its path,1
One tread rolls over the explosive.,1
Guns and searchlights swivel,1
The head turns ponderously.,1
"Reese's partner rises, poised to throw hers.",1
"A POWER-BOLT catches her at the top of her arc, BLOWING",1
HER INTO RED MIST.,1
Reese is knocked down by the concussion,1
"Gets up, running, as the charges blow.",1
The H-K's tread carriers are RIPPED APART.,1
"It lurches to a stop, burning.",1
The following SEQUENCE is extremely FORESHORTENED.,1
CUT FAST.  IMPRESSIONS ONLY.,1
Running.,1
Explosions light the ruins like flashbulbs.,1
ENERGY WEAPONS criss-cross the night like tracers.,1
"LOW ANGLE, up past the burning H-K as its flying counter- part, an AERIAL H-K, arcs into view with a TURBOJET WHINE.",1
Reese hauls two survivors of his unit into a PERSONNEL,1
"CARRIER, a CHEVY CAMARO with steel plate welded over it and the roof cut away to access the 50 CALIBER MACHINE GUN.",1
"It's stripped and rusted and bullet-riddled, glassless.",1
The TIRES are OFF-ROAD and very gnarly.,1
"They're driving through the ruins, up and over and through.",1
Reese drives like a demon,1
Under other circumstances it would be considered insane,1
Here it is merely very good.,1
The machine gun CHATTERS.,1
"A BLACK SHAPE descends, a demon with searchlights.",1
A BOLT OF LIGHT.,1
"Reese's car flips like a kicked beer can, rolling and crumpling",1
"He's pinned in the wreck, bloody, screaming despite his training",1
"The only other survivor, an emaciated BOY of twelve, is pulling for all he's worth to drag Reese out before it burns.",1
CUT TO:,0
"CLOSE ON A BOY, about twelve, clean and healthy, wearing a blue plastic DODGERS HELMET",1
He reaches through the window of the sedan.,1
BOY,2
"Hey, mister...?",3
CUT TO:,0
GREY SEDAN             ,5
"Reese's eyes open in a split-second, and suddenly there is a SHOTGUN MUZZLE AIMED RIGHT AT US.",1
"Reese quivers with a curious spasm, similar to the tremors of his arrival, and blinks at the boy.",1
"The boy is white-faced, staring down the bore",1
He backs away,1
We see that he is straddling a bicycle.,1
CUT TO:,0
"The boy's SISTER, slightly younger and also on a bicycle, can't see the shotgun from where she's waiting.",1
SISTER,2
(taunting),4
"See, I told you he wasn't dead",3
You owe me Baskin,3
Robbins.,3
The boy rides past her list a shot.,1
BOY,2
(urgently),4
Come on,3
Just come on.,3
CUT TO:,0
GREY SEDAN                                        ,5
"Reese relaxes slowly, the voltage draining out of him.",1
"INSERT - MACRO, Reese's finger on the trigger is white with pressure",1
He slips the safety to the OFF position.,1
The gun can now be fired.,1
"He sets it on the seat and reaches for the dangling ignition wires, starting the car.",1
CUT TO:,0
"Lit by streetlights, the car moves away with it lights off and vanishes in the shadows.",1
CUT TO:,0
52      OMITTED                                                52,0
"Sarah and Ginger are crammed into the tiny bathroom, becoming inextricably tangled in each other's cords as they blow-dry, curl hair, and apply make-up",1
"Ginger has her headphones inverted under her chin but in place, and is bouncing to music as she dries her hair",1
She is wearing a short terry-cloth bathrobe that reveals the greater part of her legs,1
Sarah is in a skirt and bra.,1
The phone rings and Sarah goes out into the living room to get it.,1
SARAH,2
(answering the phone),4
Hello?,3
VOICE (V.O.),2
"(on phone, deep and breathy)",4
"First I'm going to rip the buttons off your blouse, one by one...then run my tongue along your neck, down to your bare, gleaming breasts...",3
Sarah cups her hand over the mouthpiece and calls out matter-of-factly,3
SARAH,2
Ginger!  It's Matt.,3
She resumes listening.,1
MATT (V.O.),2
"...and then slowly pull your jeans off inch by inch and lick your belly in circles, further and further down... then I'll pull off your panties with my teeth...",3
Sarah is repressing laughter.,1
SARAH,2
(crossly),4
Who is this?,3
Silence,1
Then Matt realizes to his horror who he's been talking to.,1
MATT (V.O.),2
"Oh my God!  Sarah!  Oh, shit.",3
"Jesus, I'm sorry",3
I thought you were...Can I talk to Ginger?,3
SARAH,2
"Sure, Bunky.",3
"As Ginger approaches, Sarah hands her the receiver and goes into the bedroom.",1
GINGER,2
Hello?,3
MATT (V.O.),2
First I'm gonna rip the buttons off your blouse...,3
CUT TO:,0
BEDROOM,5
Sarah picks up four blouses on hanger lying on the bed and goes back into the hallway.,1
CUT TO:,0
LIVING ROOM,5
"Ginger is still listening to Matt, nodding, as Sarah enters and starts holding the blouses against herself one by one for Ginger's inspection.",1
SARAH,2
What do you think?,3
GINGER,2
(covering mouth- piece),4
Great.,3
Sarah hold up another one.,1
SARAH,2
How about this?,3
GINGER,2
Great.,3
SARAH,2
You're a big help.,3
GINGER,2
(advisory tone),4
"Alright, the beige one.",3
SARAH,2
I hate the beige one.,3
GINGER,2
(same advisory tone),4
Don't wear the beige one.,3
Sarah gathers up the blouses and walks out.,1
SARAH (V.O.),2
This guy's probably a schmuck and I don't care what I wear.,3
"A couple of BEATS, and she's back in the doorway with a concerned expression.",1
SARAH,2
(continuing),4
You think the beige?,3
CUT TO:,0
An unmarked car with a clamp-on light and siren blaring screeches to the curb behind two marked black-and-whites in front of a funky Venice apartment building,1
A small crowd  is gathered around the front steps,1
LIEUTENANT,1
"ED VUKOVICH, Homicide Division, gets out of the car and strides through the crowd",1
"He's fiftyish, short, but square and solid, a human bulldog gone a little to paunch.",1
He chews Juicy Fruit gum like a maniac a chain-chewer.,1
He's homely as an old boot,1
"And he's not a smart cop, he's a wise one rarer still",1
"The onlookers, gathered patiently for their ten second glimpse of something under a sheet, separate for him to pass.",1
CUT TO:,0
"CAMERA PANAGLIDES AHEAD OF VUKOVICH, as he climbs the switch- back staircase two steps at a time",1
He passes TWO UNIFORMED,1
"COPS at the doorway of a second-floor apartment, and enters to find a quiet flurry of activity",1
"Several DETECTIVES and a PHOTOGRAPHER prowl around, taking evidence, taking pictures.",1
"In the center of the living room floor is the body of a young woman, crumpled face down in a small lake of blood.",1
Two bags of groceries lie split open on the floor in front of her.,1
Vukovich glances up as he is joined by DETECTIVE SGT.,1
TRAXLER,1
"Traxler is black, lean and very jaded.",1
VUKOVICH,2
Give me the short version.,3
TRAXLER,2
Six shots at less than ten feet,3
Weapon was a large caliber--,3
Vukovich is looking at the body.,1
VUKOVICH,2
No shit.,3
Traxler turns to a passing DETECTIVE.,1
TRAXLER,2
Come on man,3
Don't track it all over,3
It's un- professional.,3
"He turn back to Vukovich, gesturing at the body.",1
TRAXLER,2
(continuing),4
"Okay, let's see...Got a pos- itive on her",3
She's Sarah,3
"Connor, works as a legal--",3
VUKOVICH,2
(interrupting),4
That can't be right,3
That's the name of the one Valley,3
Division mopped up this after- noon.,3
Traxler slips something off his clipboard and hands it to the Lieutenant.,1
TRAXLER,2
Here's her driver's license.,3
VUKOVICH,2
(pondering),4
You gotta be kidding me,3
The new guys'll be short-stroking it over this one,3
A one-day pattern killer.,3
TRAXLER,2
I hate the weird ones.,3
CUT TO:,0
 SARAH'S APARTMENT/BATHROOM                        ,5
Sarah poses with Ginger in front of the mirror,1
"They are dressed, made-up, hair-styled and READY.",1
GINGER,2
(studying their reflection),4
Better than mortal man deserves.,3
Sarah grins and goes into the other room.,1
CUT TO:,0
 LIVING ROOM,5
"Sarah walks around the room, searching for something.",1
SARAH,2
(calling),4
"Ginger, have you seen Pugsley?",3
"Ginger enters, stopping beside their phone answering machine.",1
GINGER,2
Not lately,3
Did you check messages?,3
SARAH,2
(still looking),4
I thought you did.,3
"She checks under the couch, then behind the drapes",1
She bends down.,1
SARAH,2
(from beside cur- tains),4
Come here young man,3
Mind your mother.,3
C.U,1
#NAME?,1
"RESUME WIDE, Sarah lifts the three foot long lizard from his perch on the windowsill",1
She gives the complacent reptile a kiss on its blunt snout.,1
GINGER,2
(groaning),4
Totally nauseating.,3
Sarah drapes the lizard across her shoulders where it sits contentedly as she looks for her purse,1
Ginger has been rewinding the message tape,1
She punches PLAY and a MALE,1
VOICE is heard.,1
VOICE,2
(recorded),4
"Hi, Sarah...Stan Morsky.",3
"Uh, something's come up and it looks like I won't be able to make it tonight",3
I'm really sorry,3
Call you in a day or so.,3
Sorry,3
'Bye.,3
"Sarah stands still, crestfallen.",1
GINGER,2
That bum,3
"So what if he has a Porsche, he can't treat you like that...it's Friday night for crissakes.",3
SARAH,2
(slumping),4
I'll live.,3
GINGER,2
I'll break his kneecaps.,3
Sarah resignedly slips Pugsley off her shoulders.,1
SARAH,2
"You still love me, don't you, Pugsley?",3
She places Pugsley in a large terrarium with a 'BEWARE OF,1
DOG' sign taped on the side.,1
SARAH,2
(continuing),4
"I'm going to a movie, kiddo.",3
See ya',3
You and Matt have a good time.,3
GINGER,2
(as Sarah exits),4
"We will, kiddo.",3
CUT TO:,0
INT ,5
PARKING GARAGE,5
NIGHT,6
Sarah is a small figure in the shadowed echoing garage of her building.,1
"CONVERGING DOLLY, PACING HER, as she passes the stalls with their inky shadows.",1
The light near her moped is out.,1
She fumbles in the dark to unlock the chain.,1
She looks up.,1
Did she hear something...masked by the rattle of the chain?,1
"POV - SARAH, there is no movement for the length of the garage.",1
"ON SARAH - C.U., inexplicably nervous.",1
She stows the chain and starts the bike,1
It whines reassuringly.,1
Sarah jumps on and whirs out of the garage.,1
CUT TO:,1
Sarah is visible through the windshield as she pulls onto the street.,1
"PAN WITH HER to reveal Kyle Reese, hunched down in shadow, watching",1
He puts the car in gear and pulls out to follow her receding tail-light.,1
"Streetlights flash across his face, in stark-lines profile.",1
Mouth cruel where the scar tugs at it.,1
CUT TO:,0
"DOLLYING WITH VUKOVICH and TRAXLER, as they pass through a group of REPORTERS",1
Mostly newspaper stringers but there is also one bored local TV MINICAM CREW.,1
REPORTER,2
"...Lieutenant, are you aware that these two killings occurred in the same order as their listings in the phone book?",3
VUKOVICH,2
No comment.,3
He and Traxler enter their office and shut the door.,1
CUT TO:,0
VUKOVICH'S OFFICE                                  ,5
"Vukovich drops his gun in the wastebasket, picks up a cup of coffee from his desk and uses it to wash down a handful of aspirins",1
Traxler grimaces.,1
TRAXLER,2
That stuff's two hours cold.,3
VUKOVICH,2
(nodding ab- sently),4
I know.,3
TRAXLER,2
(eyeing him),4
I put a cigarette out in it.,3
"Vukovich, lost in thought, turns on him suddenly.",1
VUKOVICH,2
Did you reach the next girl yet?,3
TRAXLER,2
No,3
Keep getting an answer- ing machine.,3
VUKOVICH,2
Send a unit.,3
TRAXLER,2
I already did,3
No answer at the door and the apartment manager's out,3
I'm keeping them there.,3
VUKOVICH,2
Call her.,3
TRAXLER,2
I just called.,3
VUKOVICH,2
Call her again.,3
"Traxler picks up the phone and begins to dial her number as Vukovich sets down his coffee cup, unwraps a stick of gum and pops it in his mouth.",1
VUKOVICH,2
(continuing),4
Got a cigarette?,3
CUT TO:,0
"CLOSE ON PHONE, connected to the answering machine",1
The outgoing message trigger after the second ring.,1
GINGER'S VOICE,2
(machine V.O.),4
Hi there.,3
(long pause),4
"Ha ha ha, fooled you",3
"You're talking to a machine, but don't by shy, it's okay",3
"Machines need love too, so talk to it and Ginger, that's me, or Sarah will get back to you",3
Wait for the beep.,3
"As the message plays, CAMERA DOLLIES OFF the phone machine and down the corridor of the dark apartment",1
"As the bedroom door draws near, Ginger's recorded voice fades and is super- ceded by CRIES and MOANS.",1
CUT TO:,0
"FULL SHOT, framed against the streetlit curtains, Ginger and",1
Matt from a beautiful tableau of lovemaking in silhouette.,1
Their perfect bodies glisten with backlight as they strain in passion.,1
"CLOSER - TIGHT TWO, revealing that Ginger is wearing her earphones",1
"Matt, without breaking rhythm, reaches out to the night table and thumbs the volume higher.",1
"Ginger cries out louder, apparently enjoying his sure touch on her volume control.",1
CUT TO:,0
Traxler hangs up the phone.,1
TRAXLER,2
Same shit.,3
VUKOVICH,2
"I can hear it now, it's gonna be the goddamned 'Phone Book",3
Killer'.,3
TRAXLER,2
I hate the press cases.,3
Especially the weird press cases,3
Where you going?,3
VUKOVICH,2
(heading for the door),4
To make a statement,3
I'm gonna give them the name,3
Maybe the jackals can help us out for once.,3
"He looks at his watch, then straightens his tie.",1
VUKOVICH,2
(continuing),4
"If they can get this on the tube by eleven, she may just call us.",3
(pause),4
How do I look?,3
TRAXLER,2
"Like shit, boss.",3
Vukovich goes out and the Minicam light hits him as the door closes.,1
CUT TO:,0
"TIGHT ON A TV SCREEN, a news cast in progress.",1
ANCHORMAN (V.O.),2
...police had no further comment on the apparent similarity between the shooting death of an Encino woman earlier today...,3
CUT WIDE to show Sarah watching the TV which is suspended over the bar,1
"The place is a crowded, post-movie hangout, raucous with laughter and videogames",1
"The newscast continues, ignored by all except Sarah.",1
ANCHORMAN (V.O.),2
(continuing),4
...and this almost identical killing two hours ago of a,3
Venice resident with virtually the same name,3
"Sarah Ann Connor, a 24 year old legal secretary, was pronounced dead at the scene in her beachfront apartment...",3
A customer gestures for the bartender's attention.,1
CUSTOMER,2
"Hey, can we change this and catch the ball scores.",3
BARTENDER,2
(reaching for the knob),4
Sure.,3
"Sarah leaps half over the bar, startling everyone.",1
SARAH,2
(shouting),4
Leave it where it is!,3
ANCHORMAN (V.O.),2
...no other connections between the two victims has been estab- lished.,3
(pause),4
"On a lighter note, these was cause for celebration at the",3
L.A,3
"Zoo today, as...",3
"Sarah leaves her half-finished pizza and beer, getting up in a daze",1
"Followed by puzzles glances, she makes her way through the crowd.",1
CUT TO:,0
 PIZZA PARLOR HALLWAY                             ,5
"In the crowded hallway by the restrooms, Sarah goes to the single payphone and seizes the directory",1
"She flips rapidly through it, then stops, looking down.",1
She sees that her name is next on the list.,1
The book slips out of her fingers.,1
Sarah turns and scans the crowd.,1
"She's getting looks, covert and otherwise, like any unaccom- panied girl on a Friday night",1
But is that all they mean?,1
Sarah back into the women's restroom.,1
CUT TO:,0
 RESTROOM          ,5
Sarah stumbles numbly to the sink.,1
She splashes her face with cold water,1
In the mirror her terrified reflection looks back,1
Why me?,1
She hears a loud clatter and spins around.,1
It's just a drunken woman fumbling with a toilet stall door.,1
Sarah edges back out into the corridor.,1
CUT TO:,0
HALLWAY                 ,5
Sarah walks stiffly to the pay phone.,1
It's OUT OF ORDER.,1
CUT TO:,0
Sarah exits the pizza place into the sparse crowd on the sidewalk,1
"As she passes a figure leaning against the wall just outside, the man turns his head to watch her.",1
"It is Reese, his gaze impassive.",1
Streetlight catches the burn scar on his cheek.,1
"He is motionless, sinister in his long coat.",1
Sarah shudders.,1
She walks on.,1
"POV - SARAH, ON CROWD, moving toward and through approaching groups of pedestrians",1
They seem to be glancing at her.,1
Was it always like that and she just never noticed?,1
C.U,1
#NAME?,1
"POV - SARAH, ON PIZZA PARLOR DOORWAY",1
Reese is gone.,1
She resists the urge to run.,1
On the opposite side of the street an  LAPD cruiser glides slowly by,1
"Sarah is about to call out but a bus blocks her view and when it had passed, the car is turning away down a side street.",1
"She passes a large window with STOKER'S written on it, and ducks quickly through the door.",1
CUT TO:,0
"ANGLE THROUGH WINDOW, SARAH F.G., as Reese approaches.",1
"Her knuckles clench white as he reaches the entrance and walks by, unhurriedly, without a glance inside.",1
"She turns and scan the gloomy interior, which reveals itself to be less than savory",1
Pool tables and upper-middle lowlife in submarine depths of smoky haze.,1
"Sarah draws stares, menacing in their own right, as she weaves between the pool tables to the back of the bar. her hands are trembling as she drops a dime in the pay phone and dials.",1
VOICE (V.O./RECORDED),2
You have reached the Los Angeles,3
Police Department Emergency Number.,3
All lines are busy,3
"If you need a police car sent out to you, please stay on the line...",3
"Sarah holds the receiver pressed to her ear, glancing around, fear feeding on frustration.",1
CUT TO:,0
"An LAPD black-and-white sits at the curb in front of Sarah's building with two cops inside, drinking coffee",1
Through the open window we hear the dispatcher's voice on the radio.,1
DISPATCHER (V.O.),2
...two eleven in progress at,3
"Seven-Eleven market, Third and",3
Tamarac,3
One suspect believed to be armed...,3
The car pulls out with lights and siren on.,1
"A moment later, Terminator rounds the corner of the building and climbs the stairs to the entryway.",1
"He surveys the bank of call buttons, then turns to consider the barred security gate.",1
CUT TO:,0
"PANAGLIDE WITH GINGER as she ties her terry-cloth robe and, leaving Matt in a dead sleep, pads through the dark apartment.",1
"Down the hall, past the phone with Traxler's message.",1
Through the dark living room.,1
She has her Walkman in the pocket of her robe and bops to herself in the silent gloom as she enters the kitchen.,1
"When she opens the refrigerator to remove snack fixings, the light briefly illuminates the kitchen and in that moment,",1
SOMETHING MOVES in the F.G.,1
"TIGHT ON GINGER, MOVING WITH HER as she backs toward the counter with her arms full of snack stuff.",1
A SUDDEN CRASH,1
A flurry of motion behind her.,1
"She spins, dropping half her load.",1
Ginger fumbles for the lightswitch.,1
"Revealing Pugsley, sitting there blinking innocently among overturned spice bottles on the counter-top.",1
GINGER,2
Shoo,3
Go on,3
I'll make a belt out of you.,3
"Pugsley disappears into a large fern by the window and Ginger sets about her task, slathering crunchy peanut butter on stalks of celery.",1
CUT TO:,0
BEDROOM                             ,5
"MEDIUM ON MATT, as rustling curtains play patterns of street- light over his sleeping face.",1
The sound of a faint breeze.,1
"In the B.G is the balcony, empty",1
The sliding door is open.,1
"TIGHT ON MATT, as his eyes open at the sound of a quiet, repeated CLICKING.",1
"UP ANGLE - PAST MATT, as the five-inch blade of an industrial razor-knife reaches full extension in Terminator's hand, right above him.",1
It slashes viciously downward.,1
Matt rolls and the pillow is SLIT OPEN where his throat had been.,1
MATT,2
Whoah!,3
Terminator catches him by the hair and slashed down again.,1
Matt grabs the wrist in both hands.,1
"The enormous muscles of his arms, which seem capable of bench pressing a Chrysler, strain and knot against the pressure of the killer's single arm...",1
And still the blade moves closer to his throat.,1
With a final heave Matt deflects the down-pressure sideways and the blade snaps with a CLINK against the headboard.,1
"HANDHELD WITH MATT as he rolls off the bed, spins and slams his fists together into Terminator's temple",1
He picks up a brass deco lamp and brings it down with piledriver force.,1
"Unperturbed, Terminator knocks the lamp away and hurls Matt over the bed.",1
CUT TO:,0
Matt crashes through the glass doors and slams against the balcony railing.,1
CUT TO:,0
KITCHEN                              ,5
"Oblivious to the noise, Ginger croons in rock-and-roll ecstasy, singing to a celery stalk as if it were a micro- phone.",1
CUT TO:,0
"Matt heaves himself up, powerful body gleaming with sweat and hurls himself upon the intruder.",1
"The titans CRASH INTO A DRESSER, reducing it to kindling.",1
"Then into the closet door, EXPLODING THE FULL-LENGTH MIRROR.",1
Terminator places one hand on either side of Matt's barrel chest,1
SINKS HIS FINGERS INTO THE FLESH,1
An inhuman grip.,1
"Matt is raised off the floor, contorted with agony, above the other's head.",1
CUT TO:,0
HALLWAY                              ,5
DOLLY PRECEDING GINGER as she returns from the kitchen with a plate full of celery stalks and a glass of milk,1
"CAMERA passes the closed bedroom door and STOPS, as Ginger pauses to set the plate on top of the glass, freeing one hand to open the door.",1
AN EXPLOSION OF SPLINTERS in close F.G as a shape smashes through the door right in front of her...Matt's body propelled halfway through the door by enormous force.,1
"Ginger shrieks and leaps back, flinging milk and all into the air.",1
The door begins to open the pressure of Matt's body creates resistance.,1
Ginger SCREAMS and back away.,1
The door is wrenched open and Terminator steps through with the massive .45 drawn.,1
"HANDHELD WITH GINGER, the walls blur by as she runs.",1
"TIGHT ON TERMINATOR as the pistol RISES INTO FRAME, aligning with his eyes",1
BOOM!,1
"LOW FAST DOLLY WITH GINGER as the bullet punches into her shoulder, pitching her on her face outside the bathroom door.",1
"LOW WIDE ANGLE as she crawls forward, gasping, drowning.",1
The implacable figure looms behind her.,1
"Her expression is agony and reeling, nauseating terror.",1
And incomprehension,1
Why am I suddenly dying?,1
"Her eyes roll, showing the whites, like a horse tethered in a burning stable.",1
CUT TO:,0
BATHROOM                          ,5
Ginger scrabbles pathetically for a grip on the tile floor as she pulls herself into the bathroom.,1
She clutches the rim of the toilet.,1
"LOW ANGLE PAST HER, ON TERMINATOR, as he stands behind her.",1
"PAN UP, off her",1
He takes aim.,1
And empties the clip.,1
He calmly reloads.,1
CUT TO:,0
"CLOSE ON PHONE MACHINE, as the telephone rings loudly in the ensuing silence.",1
"Terminator spins, drawing an instantaneous bead on the source of the sound, but doesn't fire.",1
GINGER'S VOICE,2
(recorded),4
Hi there.,3
(pause),4
"Ha ha ha, fooled you",3
You're talking to a machine...,3
C.U,1
#NAME?,1
GINGER'S VOICE,2
"(recorded, continuing)",4
"...but don't be shy, it's okay.",3
Machines need love too...,3
Terminator turns abruptly back to Ginger's body,1
"He turns it over, assuring himself that she is dead.",1
GINGER'S VOICE,2
"(continuing, recorded)",4
"...so talk to it and Ginger, that's me, or Sarah will get back to you.",3
Wait for the beep.,3
There is a loud tone and the incoming call is heard.,1
SARAH'S VOICE,2
(on machine),4
"Ginger, this is Sarah...",3
"Terminator's head snaps back and he freezes, listening.",1
He rises slowly as Sarah's voice continues.,1
TIGHT ON HIS UNBLINKING EYES.,1
SARAH'S VOICE,2
"(on machine, contin- uing)",4
...I'm in this sleazy bar called,3
Stoker's on Pico but I'm too scared to leave,3
"I'm really scared, kiddo...",3
CUT TO:,0
Sarah cups the telephone's mouthpiece with her hand and glances around frequently.,1
SARAH,2
"(continuing, into phone)",4
...I think somebody's after me and I sure hope you play this soon 'cause I need you and Matt to come pick me up,3
"The police keep transferring me around, but",3
I'm going to try them again.,3
CUT TO:,0
SARAH,2
"(continuing, B.G.)",4
The number here is 468-9175.,3
"Call me, kiddo",3
I need you.,3
It's Stoker's on Pico,3
Bye.,3
Terminator is rapidly and methodically rifling the contents of Sarah's small desk,1
"SIREN'S WAIL, approaching.",1
He picks up a small card.,1
E.C.U,1
#NAME?,1
"It is Sarah's college I.D card, complete with color photo of her.",1
MACRO ON PICTURE.,1
E.C.U,1
"- TERMINATOR'S EYES as he tosses the card down, after a fraction of a second's scan",1
Picks up something else.,1
"TIGHT ON SARAH'S ADDRESS BOOK, Terminator pockets this and slips out the balcony door",1
"Climbing over the railing, he is gone.",1
CUT TO:,0
"Sarah is huddled, back to the wall, beside the phone.",1
SARAH,2
"(on phone, upset)",4
"...look, Lieutenant...uh,",3
"Vukovich, don't put me on hold and don't transfer me to another department...",3
CUT TO:,0
VUKOVICH,2
(on phone),4
I won't,3
Now just relax.,3
Where are you?,3
(pause),4
"Yeah, I know it...on Pico.",3
Are you alright?,3
CUT TO:,0
SARAH,2
(on phone),4
"Yes, but I don't want to leave",3
I think this guy's following me.,3
CUT TO:,0
VUKOVICH,2
(on phone),4
"Alright, Ms",3
Connor,3
Listen carefully,3
"You're in a public place, you'll be safe 'til we get there",3
Stay visible.,3
Don't go outside or in the restroom,3
I'll be there in a few minutes.,3
"He hangs up and grabs his coat, motioning to Traxler.",1
VUKOVICH,2
Let's roll.,3
CUT TO:,0
"Sarah takes a seat at a booth near the bar, and picks up a dog-eared menu, but can't concentrate on it",1
She looks at her watch and glances around.,1
CUT TO:,0
The yellow Maverick hurtles along an empty street.,1
CLOSER ANGLE as streetlight glare slashes across Terminator's face in flaring pulses.,1
CUT TO:,0
Vukovich draws his Colt Python .357 Magnum and check the load,1
Traxler is driving.,1
VUKOVICH,2
Let's see how this guy likes playing hard-ball.,3
CUT TO:,0
The waitress set a cup of coffee in front of Sarah.,1
WAITRESS,2
Anything else?,3
"Sarah shakes her head ""No"" and contemplates her trembling hands",1
"She half-turns, catching a glimpse of herself in the mirror behind the bar.",1
"TIGHT ON SARAH, reflected in the mirror",1
"In the F.G a man at the bar looks up from his beer, straight into her eyes.",1
It is Reese.,1
"He gazes at her coolly for a moment, then glances away.",1
C.U,1
#NAME?,1
ANGLE ON FRONT DOOR as it opens and a figure stands silhou- etted briefly against a streetlight.,1
"Reese turns, his eyes flickering to the mirror, the figure.",1
C.U,1
#NAME?,1
His knuckles are white,1
